Date,User,Tweet
2022-05-29 23:58:44+00:00,DoctorYasmin,"Days after 10 year old Lexi Rubio was killed in the Robb Elementary School shooting, her mother, Kimberly Rubio, a reporter at the local newspaper, The Uvalde Leader-news, sat down to write Lexi's obituary."
2022-05-29 23:58:43+00:00,KNDmex,"@GTacovic @FullyvaxxedEsq @LissaCunneen @Karatsmom @AdamParkhomenko The dead kids that were violently murdered by an assault weapon in Uvalde  were unavailable for comment in response to the ""proud"", ""moral"" ""priest"" who expressed zero remorse for their deaths. https://t.co/XrPkWXpFFx"
2022-05-29 23:58:42+00:00,NikonGirl118,Somewhere in Uvalde TX … So Sad.. @NRA @GOP #NRA #NRAconvention #NRAIsATerroristOrganization https://t.co/lch0S9MBAM
2022-05-29 23:58:40+00:00,LouMcdowell18,"Angeli Rose Gomez heard about the shooting at the Uvalde School, drove their as quickly as she could. When she yelled and demanded the police  storm the school, they did nothing ,put her in handcuffs. She managed to convince one to remove the handcuffs saying she would behave."
2022-05-29 23:58:34+00:00,TheAuis,DOJ Launches Review of Police Response to Uvalde Shooting Amid Biden Visit https://t.co/p8FQLJgsbX
2022-05-29 23:58:32+00:00,OnlyWhiteTiger,DOJ to review law enforcement's response to Uvalde shooting https://t.co/wOvlWgifkw via @YouTube
2022-05-29 23:58:27+00:00,aztecavalle,"Como hablar con sus hijos sobre tiroteo en Uvalde
https://t.co/QGJ8uWU17U"
2022-05-29 23:58:26+00:00,TModernJukebox,"@grammabearatx @Janilinderpoo @DaveBaggett4 I literally referenced the financial figures in Uvalde  when making my tweet, sorry you didn't pick that up"
2022-05-29 23:58:22+00:00,pkimery,"@WhiteHouse  Late, Late, Late! Police in Uvalde, the US in Ukraine. Late aid is essentially no aid in matters of life and death. Police late from fear, US late from _ _ _ _!"
2022-05-29 23:58:20+00:00,Angel02318709,"I love this couple! President Biden, first lady visit Uvalde Sunday to provide comfort, pay respects
https://t.co/557nr3OKA8"
2022-05-29 23:58:19+00:00,shteivenreda,@MattDoyle76 @andrew_wiebe We like Wiebe now he helped us raise money for Uvalde.
